127.0.0.1 - - [07/Nov/2016:12:07:23 +0000] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:07:24 +0000] "GET /SE3_WebAppExample/index.html HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:08:10 +0000] "POST /SE3_WebAppExample/FrontController HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:08:59 +0000] "GET /SE3_WebAppExample/login.html HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:10:45 +0000] "GET /SE3_WebAppExample/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:10:53 +0000] "POST /SE3_WebAppExample/FrontController HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:11:22 +0000] "GET /SE3_WebAppExample/login.html HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:12:56 +0000] "GET /SE3_WebAppExample/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:13:05 +0000] "POST /SE3_WebAppExample/FrontController HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:13:09 +0000] "POST /SE3_WebAppExample/FrontController HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:13:15 +0000] "POST /SE3_WebAppExample/FrontController HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:13:32 +0000] "POST /SE3_WebAppExample/FrontController HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [07/Nov/2016:12:29:04 +0000] "GET /SE3_WebAppExample/index.html HTTP/1.1" 304 -
